meanBER_cc,meanPER_cc,SNRpercomm_cc,meanAWGN_POWER_cc,meanUP_LOSS_cc,meanDOWN_LOSS_cc,meanTEMPERATURE_cc,meanWV_DENSITY_cc,meanUP_THERMAL_POWER_cc,meanDW_THERMAL_POWER_cc
0,0,12.441,1.2129e+05,43.468,44.733,282.1,0.0056854,3.0733e-11,2.6883e-11
0,0,10.223,1.1102e+06,39.901,40.68,299.93,0.0090373,3.7052e-11,3.0417e-11
0.011598,0.66667,5.0779,1.7612e+06,43.216,41.448,290.27,0.0042444,3.146e-11,2.8806e-11
0,0,22.566,71938,40.456,39.823,300.78,0.01477,3.4221e-11,3.0657e-11
0.0090206,0.66667,6.47,8.3994e+05,42.974,42.375,288.71,0.0096972,3.1333e-11,2.7067e-11
0,0,10.537,3.9308e+05,41.25,43.689,289.53,0.0087144,3.1402e-11,3.0752e-11
0,0,12.459,5.2891e+05,41.834,40.588,295.54,0.0087267,3.4412e-11,3.2226e-11
0,0,14.657,3.5282e+05,40.699,40.267,298.97,0.0077452,3.2776e-11,3.0468e-11
0,0,9.7668,5.5501e+05,39.836,44.056,292.4,0.010252,3.1639e-11,2.991e-11
0,0,23.071,45736,41.284,42.318,293.03,0.010639,3.0496e-11,3.0622e-11
0,0,11.347,4.106e+05,41.478,42.396,292.29,0.0083406,3.6013e-11,3.4301e-11
0,0,10.668,3.3663e+05,39.7,45.533,289.28,0.010835,3.507e-11,3.0283e-11
0,0,24.777,29255,41.733,40.443,296.17,0.0057494,3.2382e-11,2.934e-11
0,0,18.886,58671,42.356,42.171,290.39,0.0084508,3.0362e-11,3.5007e-11
0,0,14.729,1.0732e+05,43.609,42.402,287.11,0.0052091,2.8789e-11,3.2588e-11
0,0,16.221,97021,43.04,43.1,286.7,0.0056854,3.429e-11,2.9157e-11
0,0,24.928,28159,40.755,41.025,296.9,0.0093401,3.5337e-11,2.761e-11
0,0,15.276,1.6578e+05,40.813,43.356,291.51,0.01294,3.2152e-11,3.016e-11
0,0,18.202,39104,43.051,43.869,284.95,0.0069278,2.9213e-11,3.7353e-11
0.0012887,0.33333,6.076,1.1263e+06,43.818,42.812,285.7,0.0039862,3.1627e-11,2.9124e-11
0.011598,0.33333,5.148,2.8399e+06,41.374,40.17,297.46,0.0077002,3.7294e-11,2.6583e-11
0,0,6.7412,1.5001e+06,41.75,41.123,294.33,0.011128,3.4316e-11,2.7864e-11
0,0,18.189,54982,40.88,44.617,288.23,0.0079598,3.3488e-11,2.8979e-11
0,0,22.844,14001,43.254,43.704,284.58,0.0051701,2.9669e-11,2.6231e-11
0,0,7.4777,8.9847e+05,42.104,43.095,288.9,0.008756,3.4875e-11,2.7917e-11
0,0,24.94,15293,42.821,41.956,289.87,0.0050735,3.006e-11,2.8881e-11
0,0,11.71,4.107e+05,40.831,42.523,293.15,0.0086502,3.1406e-11,2.9313e-11
0,0,8.0965,8.7336e+05,41.263,42.451,292.21,0.0040653,3.1366e-11,2.7376e-11
0,0,18.034,94593,43.645,40.486,291.63,0.0092246,3.6046e-11,2.9816e-11
0,0,16.765,82290,43.436,43.131,285.82,0.0057094,2.9395e-11,2.919e-11
0,0,8.1387,8.2285e+05,43.457,41.629,289.37,0.0062167,3.2279e-11,3.4536e-11
0,0,11.78,3.5036e+05,43.493,41.135,290.51,0.0051192,3.2971e-11,2.7346e-11
0,0,22.437,20083,43.202,42.816,287.15,0.0060771,2.7891e-11,3.2719e-11
0,0,11.342,5.7841e+05,41.449,41.333,294.82,0.0052154,2.9297e-11,2.8875e-11
0,0,8.6271,2.471e+05,43.412,45.473,280.56,0.0050002,2.9735e-11,2.8679e-11
0,0,14.238,1.7211e+05,44.142,40.405,290.54,0.006865,3.3317e-11,3.2571e-11
0,0,21.323,30887,42.469,42.464,289.56,0.007851,3.3881e-11,2.8428e-11
0,0,17.074,27588,45.289,44.637,277.95,0.0031025,3.2694e-11,3.0212e-11
0,0,9.8025,4.6122e+05,43.783,41.156,289.64,0.0078516,3.8289e-11,2.7307e-11
0,0,12.307,2.4661e+05,41.591,43.487,289.18,0.0091852,3.3437e-11,3.111e-11
0,0,20.903,39626,41.051,44.215,288.85,0.008295,3.597e-11,2.8588e-11
0.0025773,0.33333,5.5326,2.4214e+06,42.398,40.114,295.4,0.007649,3.2254e-11,2.6868e-11
0,0,13.058,2.0061e+05,42.894,43.861,285.46,0.0082183,2.8149e-11,3.6815e-11
0,0,21.2,33330,43.067,42.41,288.17,0.0039328,3.5162e-11,3.1036e-11
0,0,15.102,1.5739e+05,44.962,39.424,291.22,0.0088148,3.1927e-11,2.7693e-11
0,0,14.581,1.8013e+05,42.327,42.119,290.72,0.0080944,3.4294e-11,3.0845e-11
0,0,16.413,1.0575e+05,41.846,43.329,288.98,0.0057847,3.291e-11,2.6105e-11
0,0,13.45,2.1139e+05,40.615,43.755,290.94,0.0066975,3.4643e-11,3.0811e-11
0,0,8.3034,1.1044e+06,41.832,42.582,290.88,0.0090354,3.2862e-11,3.2384e-11
0,0,15.701,1.2337e+05,42.907,42.373,288.66,0.008868,3.0634e-11,2.8179e-11
0,0,16.893,2.6999e+05,39.079,41.239,300.95,0.014917,2.9618e-11,2.8348e-11
0,0,18.658,1.0679e+05,44.202,41.424,288.47,0.0040626,3.1507e-11,3.3219e-11
0,0,14.637,2.0951e+05,42.38,42.744,289.1,0.0046212,3.493e-11,2.8116e-11
0,0,14.747,1.477e+05,44.612,41.079,287.96,0.010781,3.2776e-11,3.347e-11
0,0,23.156,21579,43.839,42.078,287.63,0.0088656,3.3335e-11,3.1229e-11
0,0,8.4821,6.0551e+05,42.046,43.156,288.91,0.0088879,3.2182e-11,3.0332e-11
0,0,18.231,47514,42.971,43.885,284.94,0.0030955,3.2468e-11,2.7622e-11
0,0,18.455,47682,44.054,41.786,287.53,0.0041388,3.5613e-11,2.8265e-11
0,0,24,13539,42.544,43.607,286.88,0.0048949,3.0657e-11,3.1357e-11
0,0,17.202,1.0089e+05,42.874,41.037,292.43,0.010518,3.1285e-11,3.091e-11
0,0,5.0153,1.2113e+06,42.556,42.786,288.94,0.0094699,3.1864e-11,2.7322e-11
0,0,19.31,1.0197e+05,41.033,40.766,297.04,0.0092344,3.419e-11,3.2956e-11
0,0,6.0847,6.8297e+05,42.345,44.227,285.58,0.0054389,3.468e-11,3.2573e-11
0,0,6.2823,1.7124e+06,39.862,42.55,295.44,0.0081574,3.045e-11,3.3715e-11
0,0,5.8215,1.2182e+06,43.912,42.514,286.11,0.0038038,3.3947e-11,3.5564e-11
0,0,19.715,45225,42.279,42.639,289.66,0.0060783,3.7814e-11,3.1206e-11
0,0,7.2839,5.4234e+05,45.195,41.657,285.42,0.010362,3.308e-11,3.1534e-11
0,0,23.908,10452,46.317,40.757,284.83,0.0058953,3.1165e-11,2.9852e-11
0,0,21.424,36932,43.319,40.667,291.65,0.0059439,3.269e-11,3.1558e-11
0,0,19.627,52872,40.631,43.511,291.45,0.0080537,3.3071e-11,3.1288e-11
0,0,12.188,4.9558e+05,39.846,42.099,296.6,0.0085548,3.2676e-11,2.7308e-11
0,0,22.859,15744,42.939,43.489,286.25,0.0076708,2.9659e-11,2.8806e-11
0,0,12.761,3.4245e+05,43.215,39.797,294.33,0.01216,3.5904e-11,2.6105e-11
0,0,17.265,2.2751e+05,41.146,40.388,297.84,0.011322,3.1874e-11,3.0091e-11
0,0,9.4952,3.1324e+05,45.353,41.529,285.21,0.0064392,3.1044e-11,2.9504e-11
0.0051546,0.33333,5.6439,1.45e+06,41.703,43.385,289.22,0.0072634,3.3345e-11,3.2128e-11
0,0,13.272,3.5456e+05,42.116,40.303,295.62,0.0088849,3.2882e-11,2.7121e-11
0,0,18.198,67683,43.239,42.183,288.36,0.010076,2.8799e-11,2.9027e-11
0,0,10.38,5.079e+05,42.124,42.044,291.37,0.0091616,3.2106e-11,3.4462e-11
