meanBER_nc,meanPER_nc,SNRpercomm_nc,meanAWGN_POWER_nc,meanUP_LOSS_nc,meanDOWN_LOSS_nc,meanTEMPERATURE_nc,meanWV_DENSITY_nc,meanUP_THERMAL_POWER_nc,meanDW_THERMAL_POWER_nc
0,0,21.592,79143,40.242,40.431,299.77,0.010867,4.2294e-11,2.5115e-11
0,0,21.25,94250,40.197,40.183,300.45,0.011058,3.4507e-11,2.6715e-11
0.0051546,0.33333,9.3085,7.9537e+05,41.977,41.698,292.74,0.0062802,3.334e-11,2.5485e-11
0,0,15.751,2.3006e+05,40.802,41.919,294.94,0.0097082,3.5001e-11,2.696e-11
0,0,22.574,49758,41.138,41.165,296.05,0.013505,3.2149e-11,3.3331e-11
0,0,13.33,1.1891e+05,44.005,44.281,282,0.0073507,3.7801e-11,2.8047e-11
0.0012887,0.33333,10.924,3.0326e+05,43.402,41.842,289.19,0.0060847,2.7031e-11,3.0428e-11
0,0,12.586,4.5261e+05,39.775,42.456,296.02,0.010625,3.2728e-11,2.4667e-11
0,0,19.95,36622,43.549,42.387,287.22,0.0060111,3.7053e-11,3.3976e-11
0,0,17.283,1.6856e+05,43.432,40.027,293.51,0.012387,3.2416e-11,3.1518e-11
0,0,20.517,69097,40.547,41.657,295.82,0.0076686,3.7083e-11,3.2673e-11
0,0,13.053,2.7871e+05,44.037,39.714,292.63,0.0074053,3.372e-11,3.4785e-11
0.060567,1,5.5525,1.042e+06,43.184,42.126,288.43,0.0084973,3.2286e-11,3.1932e-11
0,0,21.226,37336,40.531,43.83,290.91,0.0096515,2.8246e-11,2.7968e-11
0.0012887,0.33333,9.6814,5.3831e+05,41.626,43.314,289.62,0.0048242,2.9414e-11,3.0449e-11
0,0,14.456,3.5929e+05,41.757,41.262,294.39,0.01179,2.6215e-11,2.6882e-11
0,0,17.669,62787,40.864,44.714,288.16,0.0077378,3.4087e-11,3.0885e-11
0,0,12.062,1.0373e+05,45.203,43.895,279.82,0.0026593,2.7994e-11,3.2449e-11
0.0051546,0.66667,9.0426,4.9131e+05,44.667,41.539,286.64,0.0070983,3.381e-11,2.858e-11
0,0,9.6594,2.7872e+05,45.535,41.432,285,0.00625,3.3367e-11,3.7748e-11
0,0,14.992,98138,44.84,41.321,286.59,0.0055724,3.4267e-11,2.3407e-11
0.074742,0.66667,5.3439,1.0275e+06,45.111,41.99,284.93,0.0082099,3.0842e-11,2.9934e-11
0,0,14.896,1.9942e+05,42.682,41.208,292.13,0.0056598,3.9258e-11,2.4816e-11
0.04768,1,5.773,7.0044e+05,44.594,43.047,283.3,0.0022594,3.2782e-11,3.063e-11
0,0,22.334,35263,39.606,43.732,293.47,0.009585,2.9682e-11,3.3754e-11
0,0,22.038,22682,45.227,41.715,285.04,0.0044135,2.9526e-11,2.6181e-11
0.007732,0.66667,8.4454,6.6291e+05,43.219,41.699,289.44,0.0082176,3.7712e-11,2.7741e-11
0,0,20.697,22721,43.098,43.944,284.47,0.0035962,4.0529e-11,2.7686e-11
0,0,12.758,4.9846e+05,40.58,41.169,297.17,0.013872,3.3152e-11,2.706e-11
0.0025773,0.33333,9.1867,3.3074e+05,44.268,42.414,285.79,0.0075127,3.1968e-11,2.6167e-11
0,0,14.205,2.2524e+05,40.022,43.788,292.26,0.0063712,3.6017e-11,2.6769e-11
0.037371,1,6.2763,1.6398e+06,42.265,40.419,294.81,0.012229,3.443e-11,3.0667e-11
0,0,14.362,1.739e+05,43.025,43.347,286.36,0.0072914,3.6553e-11,2.7926e-11
0,0,18.6,56828,44.018,41.742,287.7,0.004494,2.7401e-11,3.2524e-11
0.014175,0.66667,7.882,4.655e+05,44.008,42.462,285.68,0.0050246,2.8489e-11,2.7429e-11
0,0,17.579,2.777e+05,39.464,39.569,303.98,0.015683,2.7561e-11,2.5483e-11
0,0,12.138,7.3808e+05,40.068,40.372,300.27,0.010534,2.907e-11,2.4741e-11
0,0,11.629,6.9344e+05,42.197,39.662,296.91,0.0070632,3.7572e-11,3.7751e-11
0.025773,0.66667,6.9254,1.1662e+06,43.151,41.324,290.88,0.0083247,3.4478e-11,3.2119e-11
0,0,17.014,59185,45.206,41.301,285.9,0.0052621,3.3106e-11,2.3406e-11
0.0012887,0.33333,9.9634,6.3207e+05,43.513,39.928,293.27,0.0078264,3.7952e-11,2.4636e-11
0.003866,0.66667,8.6899,8.5543e+05,43.773,41.638,288.59,0.0069786,3.1168e-11,2.6069e-11
0.016753,0.66667,8.7954,1.0286e+06,43.698,38.649,296.06,0.012392,2.9873e-11,2.9758e-11
0,0,16.814,59980,43.617,43.094,285.47,0.0075785,3.8124e-11,2.8933e-11
0,0,17.034,2.0571e+05,40.487,40.767,298.28,0.010493,3.2622e-11,2.7624e-11
0,0,24.196,6944.6,44.102,44.573,280.83,0.0040307,3.2507e-11,3.0134e-11
0.012887,0.66667,8.247,8.3158e+05,42.871,42.221,289.2,0.0057757,3.1724e-11,2.7667e-11
0,0,19.372,64761,42.194,42.205,290.94,0.0065686,4.2966e-11,2.5474e-11
0.01933,0.66667,7.1615,7.9354e+05,45.25,40.588,287.77,0.0079126,2.7845e-11,3.297e-11
0,0,24.571,21688,41.733,42.041,292.17,0.0078156,3.3795e-11,3.6026e-11
0,0,12.14,1.5729e+05,45.274,43.017,281.76,0.0027221,3.0771e-11,3.697e-11
0,0,19.868,27247,43.734,43.991,282.97,0.0059305,2.76e-11,3.9976e-11
0,0,21.331,47921,42.508,42.97,288.4,0.004677,3.0982e-11,3.0048e-11
0,0,20.301,1.0862e+05,41.193,39.648,299.37,0.0099657,3.6679e-11,3.3336e-11
0,0,15.075,1.6575e+05,42.927,41.979,289.79,0.0071733,3.2087e-11,3.5251e-11
0,0,19.18,44416,44.602,42.359,284.93,0.0052768,3.0492e-11,2.6238e-11
0,0,17.233,1.9154e+05,42.466,39.126,297.84,0.0090297,2.9649e-11,3.5879e-11
0.030928,0.66667,6.3943,8.1714e+05,41.626,44.515,286.72,0.0063758,3.076e-11,2.7447e-11
0,0,22.821,13260,44.469,42.951,283.64,0.0070862,3.1137e-11,2.5907e-11
0,0,18.25,1.2177e+05,43.032,39.757,294.89,0.0093801,3.9496e-11,3.0097e-11
0,0,19.095,30879,42.095,45.386,283.7,0.0059831,3.1625e-11,2.4449e-11
0.024485,0.66667,6.2715,9.3606e+05,42.799,42.805,288,0.0064019,3.5888e-11,2.9894e-11
0,0,13.001,1.3866e+05,43.987,43.472,283.57,0.0049344,3.0867e-11,2.9038e-11
0.0064433,1,9.0641,7.035e+05,43.013,42.671,288.07,0.010362,2.9189e-11,2.8422e-11
0.0064433,0.66667,9.0307,7.4329e+05,43.066,40.698,292.25,0.0036505,3.4138e-11,2.8554e-11
0.003866,0.66667,9.4981,3.6722e+05,43.457,42.954,286.42,0.0084078,3.151e-11,3.4473e-11
0.007732,0.33333,8.4461,4.6176e+05,42.055,44.132,287.04,0.010347,2.7661e-11,3.0116e-11
0,0,11.027,1.056e+06,41.245,40.287,297.97,0.011553,2.8947e-11,2.9413e-11
0,0,9.1519,6.7342e+05,42.579,41.32,291.86,0.0083989,2.7252e-11,3.3256e-11
0.014175,0.66667,8.1286,9.2962e+05,42.061,41.152,293.86,0.012511,3.2584e-11,2.6876e-11
0,0,23.988,15274,41.913,43.678,288.1,0.0083683,3.6439e-11,2.6477e-11
0,0,24.164,18416,43.477,41.817,288.68,0.0065905,2.8264e-11,3.1697e-11
0,0,14.359,2.181e+05,41.218,42.155,293.41,0.0087568,3.231e-11,2.8704e-11
0,0,10.949,3.0113e+05,42.124,43.186,288.75,0.0071933,3.3889e-11,3.5076e-11
0,0,19.533,66705,42.125,41.292,293.24,0.011774,3.1761e-11,2.9493e-11
0.021907,1,7.3976,1.4839e+06,42.79,40.531,293.49,0.0085839,3.4735e-11,2.9073e-11
0,0,23.056,28994,42.556,41.573,291.36,0.0085788,3.3549e-11,2.8704e-11
0,0,15.421,1.3504e+05,39.99,44.907,289.92,0.0083931,2.8464e-11,2.5727e-11
0,0,16.264,1.7088e+05,42.037,41.899,291.96,0.008142,2.5987e-11,2.5267e-11
0,0,12.432,2.2902e+05,43.82,41.887,287.55,0.0044701,2.6792e-11,3.1131e-11
0.0025773,0.66667,10.243,3.391e+05,42.645,43.223,287.35,0.0080588,3.1342e-11,2.3993e-11
0,0,18.913,67529,44.424,40.65,289.58,0.010084,3.0198e-11,2.8206e-11
0.023196,0.66667,6.8432,3.7786e+05,44.807,43.696,281.25,0.0027556,3.2524e-11,4.0599e-11
